bdchm_entity,bdchm_varlabel,bdchm_varname,bdchm_vartype,bdchm_unit,obacurie,omop
MeasurementObservation,8-epi-PGF2a in urine,isoprostane_8_epi_pgf2a,decimal,pg/mL,,OMOP:3011888
MeasurementObservation,Activity LP-PLA2 in blood,lppla2_act,decimal,nmol/min/mL,,OMOP:36305170
MeasurementObservation,AHI Apnea-Hypopnea Index,apnea_hypop_index,decimal,{events}/h,,OMOP:37396400
MeasurementObservation,Albumin creatinine ratio in urine,albumin_creatinine,decimal,mg/g,,OMOP:4154347
MeasurementObservation,Albumin in blood,albumin_bld,decimal,g/dL,OBA:2050068,OMOP:2212186
MeasurementObservation,Albumin in urine,albumin_urine,decimal,mg/L,OBA:VT0002871,OMOP:2212188
MeasurementObservation,Alcohol servings,alcohol_servings,integer,{#}/wk,,OMOP:35609491
MeasurementObservation,ALT SGPT,alt_sgpt,decimal,[IU]/L,OBA:2050062,OMOP:4146380
Condition,Angina,angina,Uriorcurie,,,OMOP:321318
DrugExposure,Aspirin,aspirin,Uriorcurie,,,OMOP:1112807
Condition,Asthma,asthma,Uriorcurie,,,OMOP:4308356
MeasurementObservation,AST SGOT,ast_sgot,decimal,[IU]/L,,OMOP:4263457
Condition,Atrial fibrillation,afib,Uriorcurie,,,OMOP:313217
MeasurementObservation,basophils count,basophil_ncnc_bld,decimal,10*3/uL,OBA:VT0002607,OMOP:3006315
MeasurementObservation,Bilirubin Conjugated Direct,bilirubin_con,decimal,mg/dL,,OMOP:44805650
MeasurementObservation,Bilirubin total,bilirubin_tot,decimal,mg/dL,,OMOP:4230543
MeasurementObservation,BMI,bmi,decimal,kg/m2,OBA:2045455,OMOP:3038553
MeasurementObservation,BNP,bnp,decimal,pg/mL,OBA:2045303,OMOP:4307029
MeasurementObservation,Body weight,bdy_wgt,decimal,kg,OBA:VT0001259,OMOP:4099154
MeasurementObservation,BUN,bun,decimal,mg/dL,OBA:VT0005265,OMOP:4017361
MeasurementObservation,BUN Creatinine ratio,bun_creatinine,decimal,{ratio},,OMOP:4112223
MeasurementObservation,CRP c-reactive protein,crp,decimal,mg/L,,OMOP:4208414
MeasurementObservation,CAC Score,cac_score,decimal,{score},,OMOP:42872742
MeasurementObservation,CAC volume,cac_volume,decimal,[hnsf'U],,OMOP:4166120
Condition,Cardiovascular disease,cvd,Uriorcurie,,,OMOP:134057
MeasurementObservation,Carotid IMT,carotid_imt,decimal,mm,OBA:2050108,OMOP:4138462
Condition,Carotid plaque,carotid_plaque,Uriorcurie,,,OMOP:4102124
MeasurementObservation,Carotid stenosis left,carotid_sten_left,,%,,OMOP:43020498
MeasurementObservation,Carotid stenosis right,carotid_sten_right,,%,,OMOP:43021859
Person,Cause of death,cause_of_death,String,,,OMOP:4083743
MeasurementObservation,CD40 in blood,cd40,decimal,pg/mL,OBA:2052305,OMOP:4209737
MeasurementObservation,CESD score,cesd_score,integer,{score},,OMOP:36303297
MeasurementObservation,Chloride in blood,chloride_bld,decimal,mmol/L,OBA:VT0003018,OMOP:4188066
Observation,Cigarette smoking,cig_smok,SmokingStatusObservationTypeEnum,,,OMOP:4282779
Condition,COPD,copd,Uriorcurie,,,OMOP:44788836
MeasurementObservation,Creatinine in blood,creat_bld,decimal,mg/dL,OBA:2050096,OMOP:2212294
MeasurementObservation,Creatinine in urine,creat_urin,decimal,mg/dL,OBA:VT0010540,OMOP:3007081
MeasurementObservation,Cystatin C in blood,cysc_bld,decimal,mg/L,OBA:2052375,OMOP:4136584
MeasurementObservation,D-Dimer,d_dimer,decimal,mg/L,,OMOP:37393605
Person,Death,death_stat,VitalStatusEnum,,,OMOP:434489
Condition,Diabetes,diabetes,Uriorcurie,,,OMOP:201820
MeasurementObservation,Diastolic blood pressure,bp_diastolic,decimal,mm[Hg],,OMOP:4154790
MeasurementObservation,E-selectin in blood,eselectin,decimal,ng/mL,OBA:2052778,OMOP:3010372
SdohObservation,Education level,edu_lvl,EducationalAttainmentObservationTypeEnum,,,OMOP:4022643
MeasurementObservation,EGFR,egfr,decimal,mL/min/{1.73_m2},,OMOP:37208635
MeasurementObservation,Eosinophils count,eosinophil_ncnc_bld,decimal,10*3/uL,OBA:VT0002602,OMOP:3013115
Demography,Ethnicity,ethnicity,EthnicityEnum,,,OMOP:44803968
MeasurementObservation,Factor VII,factor_7,decimal,%{normal},OBA:2041535,OMOP:4217630
MeasurementObservation,Factor VIII,factor_8,decimal,[IU]/mL,OBA:2041536,OMOP:4148587
Condition,Family history of stroke,fam_stroke,Uriorcurie,,,OMOP:4169009
SdohObservation,Family income,fam_income,,usd,,OMOP:4076114
MeasurementObservation,Fasting blood glucose,fast_gluc_bld,decimal,mg/dL,,OMOP:4156660
MeasurementObservation,Fasting lipids,fast_lipids,decimal,mg/dL,,OMOP:4150326
MeasurementObservation,Ferritin,ferritin,decimal,ng/mL,OBA:VT0010513,OMOP:4176561
MeasurementObservation,FEV1 - Forced Expiratory Volume in 1 sec,fev1,decimal,L,,OMOP:4241837
MeasurementObservation,FEV1 FVC,fev1_fvc,decimal,{ratio},,OMOP:3011505
MeasurementObservation,Fibrinogen,fibrin,decimal,mg/dL,OBA:0000061,OMOP:4094436
MeasurementObservation,Fruit servings,fruit_serving,integer,{#}/wk,,OMOP:21493059
MeasurementObservation,FVC - Forced Vital Capacity,fvc,decimal,L,,OMOP:4176265
MeasurementObservation,GFR,gfr,decimal,mL/min/{1.73_m2},OBA:0003747,OMOP:4213477
MeasurementObservation,Glucose in blood,glucose_bld,decimal,mg/dL,OBA:VT0000188,OMOP:4149519
MeasurementObservation,HDL,hdl,decimal,mg/dL,OBA:VT0000184,OMOP:4076704
MeasurementObservation,Heart rate,hrtrt,integer,{beats}/min,OBA:1001087,OMOP:3027018
MeasurementObservation,Height,bdy_hgt,decimal,cm,OBA:VT0001253,OMOP:607590
MeasurementObservation,Hematocrit,hemat,decimal,%,OBA:2045381,OMOP:4151358
MeasurementObservation,Hemoglobin,hemo,decimal,g/dL,OBA:2060175,OMOP:4094758
MeasurementObservation,Hemoglobin A1c,hemo_a1c,decimal,%,,OMOP:4184637
MeasurementObservation,Hip circumference,hip_circ,decimal,cm,OBA:1000032,OMOP:4111665
Condition,History of cardiovascular disease,hist_cvd,Uriorcurie,,,OMOP:134057
Procedure,History of coronary angioplasty,hist_cor_angio,Uriorcurie,,,OMOP:4184832
