row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00000931,"blood analysis: triglycerides, whole serum, exam 7",mg/dL,1.0,pht000009,phv00001036,0.0,0,0.0,0,FHS ORIGINAL EXAM 1-7,exam 7,0.0,0,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00001053,"blood analysis: triglycerides, centrifuged (mg per 100 ml)",mg/dL,1.0,pht000010,phv00001187,1.0,FHS ORIGINAL EXAM 8,0.0,0,0,0,1.0,phv00177944,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00001209,"blood analysis: triglyceride, whole serum",mg/dL,1.0,pht000011,phv00001363,1.0,FHS ORIGINAL EXAM 9,0.0,0,0,0,1.0,phv00177946,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00001594,"blood analysis: fasting lipids, triglyceride",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00001593,"blood analysis, fasting: triglyceride",mg/dL,1.0,pht000013,phv00001803,1.0,FHS ORIGINAL EXAM 11,0.0,0,0,0,1.0,phv00177950,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00006321,triglyceride,mg/dL,1.0,pht000026,phv00006325,1.0,FHS ORIGINAL EXAM 24,0.0,0,0,0,1.0,phv00177976,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00006669,triglycerides mg/100ml,mg/dL,1.0,pht000028,phv00007095,1.0,FHS ORIGINAL EXAM 26,0.0,0,0,0,1.0,phv00177980,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00007530,triglycerides mg/100ml,mg/dL,1.0,pht000029,phv00007534,1.0,FHS ORIGINAL EXAM 27,0.0,0,0,0,1.0,phv00177982,0,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00007540,triglycerides,meq/L,1.0,pht000030,phv00007675,1.0,FHS OFFSPRING EXAM 1,0.0,0,0,0,1.0,phv00177930,0,0,1,0,0,0,0,meq/L,mg/dL
1,fhs,MeasurementObservation,triglycerides in blood,triglyc_bld,1,OBA:VT0002644,mg/dL,phv00009576,blood analysis - triglycerides,mg/dL,1.0,pht000034,phv00009579,1.0,FHS OFFSPRING EXAM 5,0.0,0,0,0,1.0,phv00177938,0,1,0,0,0,0,0,0,0
